evaluation_version,factor_key,factor_label,group_name,group_value,horizon,horizon_label,ic_count,mean_ic,median_ic,positive_ic_rate,status
v4,return_60d,60日モメンタム,業種,海運業,5d,5営業日,0,,,,サンプル不足
v4,return_60d,60日モメンタム,業種,海運業,10d,10営業日,0,,,,サンプル不足
v4,return_60d,60日モメンタム,業種,空運業,1d,1営業日,0,,,,サンプル不足
v4,return_60d,60日モメンタム,業種,空運業,3d,3営業日,0,,,,サンプル不足
v4,return_60d,60日モメンタム,業種,空運業,5d,5営業日,0,,,,サンプル不足
v4,return_60d,60日モメンタム,業種,空運業,10d,10営業日,0,,,,サンプル不足
v4,return_60d,60日モメンタム,業種,繊維製品,1d,1営業日,0,,,,サンプル不足
v4,return_60d,60日モメンタム,業種,繊維製品,3d,3営業日,0,,,,サンプル不足
v4,return_60d,60日モメンタム,業種,繊維製品,5d,5営業日,0,,,,サンプル不足
v4,return_60d,60日モメンタム,業種,繊維製品,10d,10営業日,0,,,,サンプル不足
v4,return_60d,60日モメンタム,業種,証券、商品先物取引業,1d,1営業日,0,,,,サンプル不足
v4,return_60d,60日モメンタム,業種,証券、商品先物取引業,3d,3営業日,0,,,,サンプル不足
v4,return_60d,60日モメンタム,業種,証券、商品先物取引業,5d,5営業日,0,,,,サンプル不足
v4,return_60d,60日モメンタム,業種,証券、商品先物取引業,10d,10営業日,0,,,,サンプル不足
v4,return_60d,60日モメンタム,業種,輸送用機器,1d,1営業日,1,-0.5,-0.5,0.0,サンプル不足
v4,return_60d,60日モメンタム,業種,輸送用機器,3d,3営業日,1,1.0,1.0,1.0,サンプル不足
v4,return_60d,60日モメンタム,業種,輸送用機器,5d,5営業日,1,1.0,1.0,1.0,サンプル不足
v4,return_60d,60日モメンタム,業種,輸送用機器,10d,10営業日,1,0.5,0.5,1.0,サンプル不足
v4,return_60d,60日モメンタム,業種,金属製品,1d,1営業日,1,-0.5,-0.5,0.0,サンプル不足
v4,return_60d,60日モメンタム,業種,金属製品,3d,3営業日,1,-0.5,-0.5,0.0,サンプル不足
v4,return_60d,60日モメンタム,業種,金属製品,5d,5営業日,1,0.5,0.5,1.0,サンプル不足
v4,return_60d,60日モメンタム,業種,金属製品,10d,10営業日,1,0.5,0.5,1.0,サンプル不足
v4,return_60d,60日モメンタム,業種,鉄鋼,1d,1営業日,0,,,,サンプル不足
v4,return_60d,60日モメンタム,業種,鉄鋼,3d,3営業日,0,,,,サンプル不足
v4,return_60d,60日モメンタム,業種,鉄鋼,5d,5営業日,0,,,,サンプル不足
v4,return_60d,60日モメンタム,業種,鉄鋼,10d,10営業日,0,,,,サンプル不足
v4,return_60d,60日モメンタム,業種,銀行業,1d,1営業日,1,-0.49999999999999994,-0.49999999999999994,0.0,サンプル不足
v4,return_60d,60日モメンタム,業種,銀行業,3d,3営業日,1,0.49999999999999994,0.49999999999999994,1.0,サンプル不足
v4,return_60d,60日モメンタム,業種,銀行業,5d,5営業日,1,0.3,0.3,1.0,サンプル不足
